Ticker
AAPL.OQ
MSFT.OQ
NVDA.OQ
GOOGL.OQ
GOOG.OQ
AMZN.OQ
META.OQ
BRKb.N
AVGO.OQ
TSLA.OQ
WMT.N
LLY.N
V.N
JPM.N
UNH.N
MA.N
XOM.N
COST.OQ
NFLX.OQ
PG.N
JNJ.N
ORCL.N
HD.N
KO.N
ABBV.N
TMUS.OQ
BAC.N
PM.N
CRM.N
CVX.N
ABT.N
CSCO.OQ
IBM.N
MCD.N
PLTR.OQ
LIN.OQ
WFC.N
GE.N
T.N
MRK.N
PEP.OQ
VZ.N
ACN.N
AXP.N
MS.N
RTX.N
ISRG.OQ
NOW.N
TMO.N
INTU.OQ
PGR.N
BX.N
GS.N
UBER.N
AMGN.OQ
QCOM.OQ
DIS.N
BKNG.OQ
ADBE.OQ
AMD.OQ
SPGI.N
TJX.N
BSX.N
CAT.N
SCHW.N
DHR.N
NEE.N
BLK.N
TXN.OQ
SYK.N
GILD.OQ
UNP.N
CMCSA.OQ
PFE.N
VRTX.OQ
HON.OQ
DE.N
LOW.N
ADP.OQ
BA.N
FI.N
C.N
CB.N
MMC.N
PANW.OQ
AMAT.OQ
LMT.N
COP.N
MDT.N
ETN.N
AMT.N
BMY.N
SO.N
ELV.N
MO.N
WELL.N
CME.OQ
CRWD.OQ
DUK.N
PLD.N
